x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
0,0,0,0.64,0.32,0,0,0,0,0.778,0,3.756,0,2.40384,1,1
0.21,0.07,0.21,0.79,0.14,0.07,0.43,0,0,0.372,0.18,5.114,0.06696,4.04006,1,1
0.19,0.12,0.38,0.45,0.06,0.06,0.06,0,0.06,0.276,0.184,9.821,0.050784,4.41945,1,1
0.31,0.63,0.31,0.31,0.31,0,0,0,0,0.137,0,3.537,0,1.09647,1,1
0.31,0.63,0.31,0.31,0.31,0,0,0,0,0.135,0,3.537,0,1.09647,1,1
0,1.85,0,0,0,0,0,0,0,0,0,3,0,0,1,1
0,0,0.96,1.28,0.96,0,0,0,0,0.164,0.054,1.671,0.008856,2.13888,1,1
0,1.88,0,0,0,0,0,0,0,0,0,2.45,0,0,1,1
0.3,0,0.76,0.92,0,0,0.15,0,0,0.181,0.203,9.744,0.036743,8.96448,1,1
0.38,0,0,0.64,0,0,0,0,0,0.244,0.081,1.729,0.019764,1.10656,1,1
0.96,0,0.96,0,0,0,0,0,0,0.462,0,1.312,0,0,1,1
0.25,0,0.12,0.12,0,0,0,0,0,0.663,0,1.243,0,0.14916,1,1
0,0,0,0.69,0.34,0,0,0,0,0.786,0,3.728,0,2.57232,1,1
0.9,0,0.9,0,0,0,0,0,0,0,0,2.083,0,0,1,1
0,0.35,0,0.35,5.35,0,0,0,0,0.357,0,1.971,0,0.68985,1,1
0.42,0,0,0,1.27,0,0.42,0,0,0.572,0.063,5.659,0.036036,0,1,1
0,0,0,0,0,0,0,0,0,0.428,0,4.652,0,0,1,1
0,0,0,0,0,0,0,0,0,1.975,0.37,35.461,0.73075,0,1,1
0.18,0,0,0,0,0.37,0,0,0,0.455,0,1.32,0,0,1,1
0,0,0,0.63,0.63,0.31,0.63,0,0,0.055,0.496,3.509,0.02728,2.21067,1,1
0,0,0,0,0,0,0,0,0,0.729,0,3.833,0,0,1,1
0.15,0.02,0.1,0.47,0,0.02,0,0,0,0.25,0.046,2.569,0.0115,1.20743,1,1
0,0,0,0,2.94,0,0,0,0,0.809,0,4.857,0,0,1,1
0,0,0,0.58,1.16,0,0,0,0,0.667,0,1.131,0,0.65598,1,1
0,0,0,0,0,0,0,0,0,0.392,0.196,5.466,0.076832,0,1,1
0.15,0.02,0.1,0.47,0,0.02,0,0,0,0.25,0.046,2.565,0.0115,1.20555,1,1
0,0,0,0,0,0,0,0,0,0.392,0.196,5.466,0.076832,0,1,1
1.66,0,0,0,0,0,3.33,0,0,0.368,0,2.611,0,0,1,1
0,0,0,0,3.33,0,0,0,0,0.352,0,4,0,0,1,1
0.65,0,0.65,0.65,0.65,1.3,0.65,0,0,0.091,0,2.687,0,1.74655,1,1
0,0,0,1.17,0,1.17,0,0,0,0.886,0,1.966,0,2.30022,1,1
0,0,0,0,3.03,0,0,0,0,2.112,0,3.909,0,0,1,1
0,0,0,0.81,0.27,0,0.27,0,0,0,0.091,1.39,0,1.1259,1,1
0,0,0,0,0,0,0,0,0,0,0.302,1.7,0,0,1,1
0,0,1.36,0,0,0,0,0.68,0,0,0,3.826,0,0,1,1
0,0,0,0,0,0,0,0,0,1.543,0,2.777,0,0,1,1
0,0,0,0,2.94,0,0,0,0,0.873,0,4.142,0,0,1,1
0.48,0,0,0.97,0.48,0.97,0,0,0,0.488,0.244,5.431,0.119072,5.26807,1,1
0,0,0,0.97,0.48,0,0,0,0,0.963,0,3.1,0,3.007,1,1
0,0,0,0.41,0.41,0,0,0,0,0.75,0,3.851,0,1.57891,1,1
0,2.45,0,0.3,0,0,0.61,0,0,0.207,0.207,2.132,0.042849,0.6396,1,1
0,0,0,0,2.94,0,0,0,0,0.671,0,4,0,0,1,1
0,0,0,0,2.94,0,0,0,0,0.711,0,4,0,0,1,1
0.18,0,0,0.18,0,0.37,0,0,0,0.426,0,1.283,0,0.23094,1,1
0.26,0.52,0.26,0.52,0.26,1.56,0,0,0,0.813,0.036,2.145,0.029268,1.1154,1,1
0,1.81,0,0.9,0,0,0.3,0,0,1.318,0.068,5.301,0.089624,4.7709,1,1
0.06,0.06,0.06,0.54,0,0.72,0.06,0,0,0.01,0.167,1.733,0.00167,0.93582,1,1
0,0,0.99,2.48,4.97,0.99,0,0,0,0.17,0,1.468,0,3.64064,1,1
0.05,0.28,0.25,0.97,0.25,0.43,0.36,0,0,0.325,0.756,5.891,0.2457,5.71427,1,1
0.06,0.33,0.39,0.73,0.26,0,0.26,0,0,0.278,0.23,3.887,0.06394,2.83751,1,1
0,0,0,1.92,0,0,0,0,0,0,0,2.75,0,5.28,1,1
0.73,1.09,0,0.36,1.09,0.36,0,0,0,0.498,0.332,3.254,0.165336,1.17144,1,1
0.38,0,0,0.64,0,0,0,0,0,0.244,0.071,1.732,0.017324,1.10848,1,1
0,0,0,1.26,0,0,1.26,0,0,0.198,0.596,3.833,0.118008,4.82958,1,1
0.73,1.1,0,0.36,1.1,0.36,0,0,0,0.5,0.333,3.259,0.1665,1.17324,1,1
0,0,0,0,1.08,0,0,0,0,1.478,0,2,0,0,1,1
1.04,0,0,1.04,0,1.04,0,0,0,0.615,0.061,3.318,0.037515,3.45072,1,1
0,0,0,2.53,0,0,0,0,0,0,0,3.642,0,9.21426,1,1
0,0,0,0.45,0.45,0,0,0,0,1.501,0,2.777,0,1.24965,1,1
0,0,0,0.42,0.42,0,0,0,0,0.669,0,3.837,0,1.61154,1,1
