x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
5,84.5,7,5,856,854,1710,2,3,1,8,0,548,35,y,1918
31,96,6,8,1262,0,1262,2,3,1,6,1,460,48,y,1870
7,112.5,7,5,920,866,1786,2,3,1,6,1,608,35,y,2023
91,95.5,7,5,961,756,1717,1,3,1,7,1,642,35,y,1567
8,142.6,8,5,1145,1053,2198,2,4,1,9,1,836,40,y,2345
16,141.15,5,5,796,566,1362,1,1,1,5,0,480,25,y,1485
3,100.84,8,5,1694,0,1694,2,3,1,7,1,636,40,y,3125
36,103.82,7,6,1107,983,2090,2,3,1,7,2,484,42,y,2055
77,61.2,7,5,1022,752,1774,2,2,2,8,2,468,35,y,1354
69,74.2,5,6,1077,0,1077,1,2,2,5,2,205,30,n,1235
43,112,5,5,1040,0,1040,1,3,1,5,0,384,25,n,1350
1,119.24,9,5,1182,1142,2324,3,4,1,11,2,736,45,n,3505
46,129.68,5,6,912,0,912,1,2,1,4,0,352,30,n,1495
1,106.52,7,5,1494,0,1494,2,3,1,7,1,840,35,n,2850
48,109.2,6,5,1253,0,1253,1,2,1,5,1,352,30,n,1625
78,61.2,7,8,854,0,854,1,2,1,5,0,576,56,n,1375
40,112.41,6,7,1004,0,1004,1,2,1,5,1,480,42,n,1545
39,107.91,4,5,1296,0,1296,2,2,2,6,0,516,20,n,955
4,136.95,5,5,1114,0,1114,1,3,1,6,0,576,25,n,1645
51,75.6,5,6,1339,0,1339,1,3,1,6,0,294,30,n,1445
1,142.15,8,5,1158,1218,2376,3,4,1,9,1,853,40,n,3308
77,74.49,7,7,1108,0,1108,1,3,1,6,1,280,49,n,1449
6,97.42,8,5,1795,0,1795,2,3,1,7,1,534,40,n,2355
31,42.24,5,7,1060,0,1060,1,3,1,6,1,572,35,n,1354
42,82.46,5,8,1060,0,1060,1,3,1,6,1,270,40,n,1595
2,142.3,8,5,1600,0,1600,2,3,1,7,1,890,40,n,2618
59,72,5,7,900,0,900,1,3,1,5,0,576,35,n,1403
