Id,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,YrSold,SalePrice
1,8450,7,5,2003,2003,Y,856,854,1710,2,1,3,1,8,0,2,548,2008,208500
2,9600,6,8,1976,1976,Y,1262,0,1262,2,0,3,1,6,1,2,460,2007,181500
3,11250,7,5,2001,2002,Y,920,866,1786,2,1,3,1,6,1,2,608,2008,223500
4,9550,7,5,1915,1970,Y,961,756,1717,1,0,3,1,7,1,3,642,2006,140000
5,14260,8,5,2000,2000,Y,1145,1053,2198,2,1,4,1,9,1,3,836,2008,250000
6,14115,5,5,1993,1995,Y,796,566,1362,1,1,1,1,5,0,2,480,2009,143000
7,10084,8,5,2004,2005,Y,1694,0,1694,2,0,3,1,7,1,2,636,2007,307000
8,10382,7,6,1973,1973,Y,1107,983,2090,2,1,3,1,7,2,2,484,2009,200000
9,6120,7,5,1931,1950,Y,1022,752,1774,2,0,2,2,8,2,2,468,2008,129900
10,7420,5,6,1939,1950,Y,1077,0,1077,1,0,2,2,5,2,1,205,2008,118000
11,11200,5,5,1965,1965,Y,1040,0,1040,1,0,3,1,5,0,1,384,2008,129500
12,11924,9,5,2005,2006,Y,1182,1142,2324,3,0,4,1,11,2,3,736,2006,345000
13,12968,5,6,1962,1962,Y,912,0,912,1,0,2,1,4,0,1,352,2008,144000
14,10652,7,5,2006,2007,Y,1494,0,1494,2,0,3,1,7,1,3,840,2007,279500
15,10920,6,5,1960,1960,Y,1253,0,1253,1,1,2,1,5,1,1,352,2008,157000
16,6120,7,8,1929,2001,Y,854,0,854,1,0,2,1,5,0,2,576,2007,132000
17,11241,6,7,1970,1970,Y,1004,0,1004,1,0,2,1,5,1,2,480,2010,149000
18,10791,4,5,1967,1967,Y,1296,0,1296,2,0,2,2,6,0,2,516,2006,90000
19,13695,5,5,2004,2004,Y,1114,0,1114,1,1,3,1,6,0,2,576,2008,159000
20,7560,5,6,1958,1965,Y,1339,0,1339,1,0,3,1,6,0,1,294,2009,139000
21,14215,8,5,2005,2006,Y,1158,1218,2376,3,1,4,1,9,1,3,853,2006,325300
22,7449,7,7,1930,1950,Y,1108,0,1108,1,0,3,1,6,1,1,280,2007,139400
23,9742,8,5,2002,2002,Y,1795,0,1795,2,0,3,1,7,1,2,534,2008,230000
24,4224,5,7,1976,1976,Y,1060,0,1060,1,0,3,1,6,1,2,572,2007,129900
25,8246,5,8,1968,2001,Y,1060,0,1060,1,0,3,1,6,1,1,270,2010,154000
26,14230,8,5,2007,2007,Y,1600,0,1600,2,0,3,1,7,1,3,890,2009,256300
27,7200,5,7,1951,2000,Y,900,0,900,1,0,3,1,5,0,2,576,2010,134800
28,11478,8,5,2007,2008,Y,1704,0,1704,2,0,3,1,7,1,3,772,2010,306000
29,16321,5,6,1957,1997,Y,1600,0,1600,1,0,2,1,6,2,1,319,2006,207500
30,6324,4,6,1927,1950,N,520,0,520,1,0,1,1,4,0,1,240,2008,68500
31,8500,4,4,1920,1950,N,649,668,1317,1,0,3,1,6,0,1,250,2008,40000
32,8544,5,6,1966,2006,Y,1228,0,1228,1,1,3,1,6,0,1,271,2008,149350
33,11049,8,5,2007,2007,Y,1234,0,1234,2,0,3,1,7,0,2,484,2008,179900
34,10552,5,5,1959,1959,Y,1700,0,1700,1,1,4,1,6,1,2,447,2010,165500
35,7313,9,5,2005,2005,Y,1561,0,1561,2,0,2,1,6,1,2,556,2007,277500
36,13418,8,5,2004,2005,Y,1132,1320,2452,3,1,4,1,9,1,3,691,2006,309000
37,10859,5,5,1994,1995,Y,1097,0,1097,1,1,3,1,6,0,2,672,2009,145000
38,8532,5,6,1954,1990,Y,1297,0,1297,1,0,3,1,5,1,2,498,2009,153000
39,7922,5,7,1953,2007,Y,1057,0,1057,1,0,3,1,5,0,1,246,2010,109000
40,6040,4,5,1955,1955,N,1152,0,1152,2,0,2,2,6,0,0,0,2008,82000
41,8658,6,5,1965,1965,Y,1324,0,1324,2,0,3,1,6,1,2,440,2006,160000
42,16905,5,6,1959,1959,Y,1328,0,1328,1,1,2,1,5,2,1,308,2007,170000
43,9180,5,7,1983,1983,Y,884,0,884,1,0,2,1,5,0,2,504,2007,144000
44,9200,5,6,1975,1980,Y,938,0,938,1,0,3,1,5,0,1,308,2008,130250
45,7945,5,6,1959,1959,Y,1150,0,1150,1,0,3,1,6,0,1,300,2006,141000
46,7658,9,5,2005,2005,Y,1752,0,1752,2,0,2,1,6,1,2,576,2010,319900
47,12822,7,5,2003,2003,Y,1518,631,2149,1,1,1,1,6,1,2,670,2009,239686
48,11096,8,5,2006,2006,Y,1656,0,1656,2,0,3,1,7,0,3,826,2007,249700
49,4456,4,5,1920,2008,Y,736,716,1452,2,0,2,3,8,0,0,0,2009,113000
50,7742,5,7,1966,1966,Y,955,0,955,1,0,3,1,6,0,1,386,2007,127000
51,13869,6,6,1997,1997,Y,794,676,1470,2,0,3,1,6,0,2,388,2007,177000
52,6240,6,6,1934,1950,Y,816,0,1176,1,0,3,1,6,1,2,528,2006,114500
53,8472,5,5,1963,1963,N,816,0,816,1,0,2,1,5,0,2,516,2010,110000
54,50271,9,5,1981,1987,Y,1842,0,1842,0,1,0,1,5,1,3,894,2006,385000
55,7134,5,5,1955,1955,Y,1360,0,1360,1,0,3,1,6,1,2,572,2007,130000
56,10175,6,5,1964,1964,Y,1425,0,1425,2,0,3,1,7,1,2,576,2008,180500
57,2645,8,5,1999,2000,Y,983,756,1739,2,1,3,1,7,0,2,480,2009,172500
58,11645,7,5,2004,2004,Y,860,860,1720,2,1,3,1,7,0,2,565,2006,196500
