w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,y
7,5,178,Y,856,854,2,1,3,1,0,2,548,5,4186
6,8,201,Y,1262,0,2,0,3,1,1,2,460,31,3646
7,5,234,Y,920,866,2,1,3,1,1,2,608,6,4486
7,5,200,Y,961,756,1,0,3,1,1,3,642,36,2816
8,5,294.2,Y,1145,1053,2,1,4,1,1,3,836,8,5016
5,5,291.3,Y,796,566,1,1,1,1,0,2,480,14,2876
8,5,210.68,Y,1694,0,2,0,3,1,1,2,636,2,6156
7,6,216.64,Y,1107,983,2,1,3,1,2,2,484,36,4016
7,5,131.4,Y,1022,752,2,0,2,2,2,2,468,58,2614
5,6,157.4,Y,1077,0,1,0,2,2,2,1,205,58,2376
5,5,233,Y,1040,0,1,0,3,1,0,1,384,43,2606
9,5,247.48,Y,1182,1142,3,0,4,1,2,3,736,0,6916
5,6,268.36,Y,912,0,1,0,2,1,0,1,352,46,2896
7,5,222.04,Y,1494,0,2,0,3,1,1,3,840,0,5606
6,5,227.4,Y,1253,0,1,1,2,1,1,1,352,48,3156
7,8,131.4,Y,854,0,1,0,2,1,0,2,576,6,2656
6,7,233.82,Y,1004,0,1,0,2,1,1,2,480,40,2996
4,5,224.82,Y,1296,0,2,0,2,2,0,2,516,39,1816
5,5,282.9,Y,1114,0,1,1,3,1,0,2,576,4,3196
5,6,160.2,Y,1339,0,1,0,3,1,0,1,294,44,2796
8,5,293.3,Y,1158,1218,3,1,4,1,1,3,853,0,6522
7,7,157.98,Y,1108,0,1,0,3,1,1,1,280,57,2804
8,5,203.84,Y,1795,0,2,0,3,1,1,2,534,6,4616
5,7,93.48,Y,1060,0,1,0,3,1,1,2,572,31,2614
5,8,173.92,Y,1060,0,1,0,3,1,1,1,270,9,3096
8,5,293.6,Y,1600,0,2,0,3,1,1,3,890,2,5142
5,7,153,Y,900,0,1,0,3,1,0,2,576,10,2712
8,5,238.56,Y,1704,0,2,0,3,1,1,3,772,2,6136
5,6,335.42,Y,1600,0,1,0,2,1,2,1,319,9,4166
4,6,135.48,N,520,0,1,0,1,1,0,1,240,58,1386
4,4,179,N,649,668,1,0,3,1,0,1,250,58,816
5,6,179.88,Y,1228,0,1,1,3,1,0,1,271,2,3003
8,5,229.98,Y,1234,0,2,0,3,1,0,2,484,1,3614
5,5,220.04,Y,1700,0,1,1,4,1,1,2,447,51,3326
9,5,155.26,Y,1561,0,2,0,2,1,1,2,556,2,5566
8,5,277.36,Y,1132,1320,3,1,4,1,1,3,691,1,6196
5,5,226.18,Y,1097,0,1,1,3,1,0,2,672,14,2916
5,6,179.64,Y,1297,0,1,0,3,1,1,2,498,19,3076
5,7,167.44,Y,1057,0,1,0,3,1,0,1,246,3,2196
4,5,129.8,N,1152,0,2,0,2,2,0,0,0,53,1656
6,5,182.16,Y,1324,0,2,0,3,1,1,2,440,41,3216
5,6,347.1,Y,1328,0,1,1,2,1,2,1,308,48,3416
5,7,192.6,Y,884,0,1,0,2,1,0,2,504,24,2896
5,6,193,Y,938,0,1,0,3,1,0,1,308,28,2621
5,6,167.9,Y,1150,0,1,0,3,1,0,1,300,47,2836
9,5,162.16,Y,1752,0,2,0,2,1,1,2,576,5,6414
7,5,265.44,Y,1518,631,1,1,1,1,1,2,670,6,4809.72
8,5,230.92,Y,1656,0,2,0,3,1,0,3,826,1,5010
4,5,98.12,Y,736,716,2,0,2,3,0,0,0,1,2276
5,7,163.84,Y,955,0,1,0,3,1,0,1,386,41,2556
6,6,286.38,Y,794,676,2,0,3,1,0,2,388,10,3556
6,6,133.8,Y,816,0,1,0,3,1,1,2,528,56,2306
5,5,178.44,N,816,0,1,0,2,1,0,2,516,47,2216
9,5,1014.42,Y,1842,0,0,1,0,1,1,3,894,19,7716
5,5,151.68,Y,1360,0,1,0,3,1,1,2,572,52,2616
6,5,212.5,Y,1425,0,2,0,3,1,1,2,576,44,3626
8,5,61.9,Y,983,756,2,1,3,1,0,2,480,9,3466
7,5,241.9,Y,860,860,2,1,3,1,0,2,565,2,3946
10,5,282.64,Y,1426,1519,3,1,3,1,1,3,641,0,8791.6
5,7,153,Y,780,0,1,0,2,1,0,1,352,36,2514
6,5,270.44,Y,1158,0,1,1,3,1,0,2,576,2,3176
5,7,153,N,581,530,1,0,3,1,0,1,288,11,2036
8,5,137.84,Y,1370,0,2,0,2,1,1,2,484,1,4066
7,6,215,Y,902,808,2,0,3,1,0,2,480,60,2816
7,5,196.5,Y,1057,977,2,1,3,1,0,2,645,11,4406
8,5,200.82,Y,1143,1330,2,1,4,1,1,3,852,2,6356
7,5,407,Y,2207,0,2,0,3,1,1,2,576,21,3616
7,5,222.3,Y,1479,0,2,0,3,1,0,2,558,4,4536
4,6,101.16,Y,747,0,1,0,2,1,0,1,220,60,1616
7,4,320.86,Y,1304,983,2,0,3,1,1,2,667,53,4516
7,6,282.02,Y,2223,0,2,0,3,1,2,2,516,34,4896
4,6,160.98,Y,845,0,1,0,2,1,0,2,360,1,2606
7,5,211.82,Y,885,833,2,1,3,1,1,2,427,11,3716
5,7,213,Y,1086,0,1,0,3,1,0,2,490,7,2914
3,6,124.8,N,840,765,2,0,3,2,0,1,379,60,2164
4,5,40.92,Y,526,462,1,0,2,1,0,1,297,36,1836
4,7,178.5,Y,952,0,1,0,2,1,0,1,283,52,2731
5,5,181.7,Y,1072,213,1,0,2,1,0,1,240,7,2556
4,5,224.56,N,1768,0,2,0,4,2,0,0,0,42,2746
5,6,217.8,Y,682,548,1,1,2,1,0,2,440,28,2216
6,6,269,Y,1182,960,2,1,4,1,1,1,509,41,3886
6,5,99,Y,1337,0,2,0,2,1,0,2,405,8,3086
8,5,213.12,Y,1563,0,2,0,3,1,1,3,758,1,4916
5,5,186.84,Y,1065,0,1,1,3,1,0,2,461,47,2546
7,5,179.6,Y,804,670,2,1,3,1,1,2,400,13,3386
8,5,330.18,Y,1301,1116,2,1,4,1,1,2,462,14,5216
6,5,247.22,Y,684,876,2,1,3,1,1,2,400,4,3496
6,5,88.02,Y,612,612,2,1,2,1,0,2,528,0,3306
3,2,178.4,N,1013,0,1,0,2,1,0,0,0,27,1716
4,5,170.4,Y,990,0,1,0,3,1,0,0,0,12,2488
4,5,153,Y,1040,0,1,0,2,1,0,2,420,56,2214
5,3,179,Y,1235,0,1,0,2,1,0,2,480,45,1988
5,7,276.2,Y,964,0,1,0,2,1,0,2,432,3,3286
6,6,153,N,1260,1031,2,0,4,2,1,2,506,9,2694
6,5,195.74,Y,905,881,2,1,3,1,0,2,684,10,4111
6,8,204.3,Y,680,790,2,1,3,1,1,2,420,16,3716
7,5,214.28,Y,1588,0,2,0,3,1,0,2,472,7,4296
4,5,227.42,Y,960,0,1,0,3,1,0,1,432,42,1911
5,5,221.5,N,835,0,1,0,2,1,0,1,366,60,1676
4,5,195.4,Y,1225,0,1,1,3,1,0,0,0,51,2595
6,7,221.06,Y,1610,0,2,0,3,1,2,2,480,9,4116
6,5,193.12,Y,977,755,2,1,3,1,1,2,476,25,3576
5,5,149.36,Y,1535,0,2,0,4,2,0,2,410,30,2395.28
7,5,217.04,Y,1226,0,2,0,3,1,0,3,740,1,3994
7,4,164.16,Y,1226,592,1,1,4,1,2,1,240,57,3406
8,5,196.5,Y,1053,939,2,1,3,1,1,2,648,4,5016
4,7,225,Y,1047,0,1,0,2,1,0,1,273,12,2016
5,5,129,Y,789,0,1,0,2,1,0,1,250,58,2316
5,7,179,N,997,520,2,0,3,1,0,0,0,2,2316
6,6,244.02,Y,1844,0,2,0,3,1,1,2,546,33,3816
6,4,199.5,Y,1216,639,2,0,4,1,0,1,325,34,2754
7,5,164,Y,774,656,2,1,3,1,1,2,400,10,3616
7,5,208.3,Y,1282,1414,2,1,4,1,1,3,792,0,7695.4
6,5,429,Y,2259,0,2,0,3,1,2,2,450,54,4356
6,8,154.18,Y,1436,884,2,1,3,1,1,1,180,5,5206
6,5,73.6,Y,729,729,2,1,2,1,1,2,440,8,3536
5,5,241.32,Y,1092,0,1,0,3,1,1,1,288,47,2796
5,5,179.72,Y,1125,0,1,1,2,1,0,2,430,0,3116
7,5,256.52,Y,1699,1523,3,0,5,1,2,3,594,20,6416
6,5,178.22,Y,728,728,2,1,3,1,1,2,390,0,3295.8
6,5,438.06,Y,988,0,1,0,1,1,2,2,540,37,3616
4,5,130.2,Y,772,351,1,0,3,1,0,1,264,57,2016
6,7,198.28,Y,1080,0,1,0,3,1,0,1,288,50,2736
6,5,166.84,Y,1199,0,2,0,2,1,0,2,530,15,3094
6,5,349.86,Y,1586,0,2,0,3,1,1,2,435,11,3636
6,8,144.6,N,520,0,1,0,2,1,0,0,0,24,1706
6,5,107.56,Y,958,0,2,0,2,1,1,2,440,31,2576
5,7,96.76,Y,840,0,1,0,3,1,1,0,0,57,1756
6,5,160.8,Y,660,688,1,1,3,1,1,2,453,40,3116
5,7,188.46,Y,1053,0,1,1,3,1,0,2,750,15,3016
7,6,293,Y,1216,941,2,1,4,1,2,2,487,40,4536
6,5,253.48,Y,1022,1032,2,1,3,1,1,2,390,9,4896
5,6,156.76,Y,1327,0,1,0,3,1,0,2,624,5,3031
8,5,146.06,Y,1296,0,2,0,2,1,0,2,471,7,4416
5,6,215.7,Y,1721,0,2,1,3,1,1,2,440,13,3616
7,6,217,Y,1682,0,2,0,3,1,1,2,530,38,3496
5,5,216.1,Y,1214,0,2,0,3,1,1,1,318,40,2876
7,5,230.4,Y,1959,0,3,0,5,2,0,3,766,17,3436
8,5,190.32,Y,1004,848,2,1,3,1,2,3,660,8,4616
6,5,317.52,Y,928,836,2,1,3,1,0,2,470,12,4646
4,5,219,Y,864,0,1,0,3,1,1,0,0,39,2316
7,5,241.9,Y,1734,0,2,0,3,1,0,2,660,1,5216
5,4,179.4,Y,910,475,2,0,4,1,0,2,720,58,3336
7,5,215.7,Y,1501,0,2,0,3,1,0,2,577,10,4096
5,5,191,Y,1728,0,2,0,6,2,0,2,504,43,2516
6,5,59.44,Y,970,739,2,0,3,1,0,2,380,0,2616
5,7,131.4,Y,875,0,1,0,2,1,0,1,180,16,2116
7,5,199.1,Y,884,1151,2,1,3,1,1,2,434,9,4466
7,5,159,Y,1080,0,1,0,3,1,0,0,0,3,2836
5,4,133.8,Y,896,448,1,0,3,1,0,1,240,56,2316
5,6,216.12,Y,969,0,1,1,3,1,0,2,440,32,2456
8,5,286.82,Y,1710,0,2,0,2,1,1,3,866,0,7464.04
6,5,305.06,Y,1097,896,2,1,4,1,1,2,495,35,3816
6,7,279,Y,1252,0,1,0,1,1,1,2,564,33,4716
6,5,235.8,Y,1200,0,1,0,4,1,0,1,312,56,2516
6,5,201,N,572,524,1,0,2,1,0,0,0,58,1596
5,7,153,Y,1040,0,1,0,2,1,0,2,625,56,2206
8,5,249.06,Y,774,1194,2,1,4,1,1,3,680,0,5406
7,5,260.04,Y,991,956,2,1,3,1,1,2,678,5,5114
7,5,396.56,Y,1392,1070,2,1,4,1,1,2,576,0,6416
6,6,231.4,Y,1232,0,2,0,3,1,0,2,516,24,3266
9,5,282.76,Y,1572,1096,2,1,3,1,2,3,726,4,8266
7,5,252.64,Y,1541,0,2,0,3,1,1,2,532,5,4416
4,6,119,Y,882,0,1,0,1,1,0,0,0,51,2080
6,7,117,Y,1149,467,2,0,3,1,0,1,216,3,3056
5,7,211.12,Y,808,547,2,0,4,2,0,0,0,9,2566
