w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,y
0.32,0,0,0.32,0,0,0,0,0,0,0,0,1
0.14,0.21,0.94,0.14,0,0,0,0,0,0.132,0,0.18,1
1.23,0.19,0.25,0.06,0.32,0,0.06,0.06,0.01,0.143,0,0.184,1
0.63,0.31,0.63,0.31,0,0,0,0,0,0.137,0,0,1
0.63,0.31,0.63,0.31,0,0,0,0,0,0.135,0,0,1
1.85,0,0,0,0,0,0,0,0,0.223,0,0,1
1.92,0,0.64,0.96,0,0,0,0,0,0.054,0,0.054,1
1.88,0,0,0,0,0,0,0,0,0.206,0,0,1
0.61,0.3,0.76,0,3.53,0,0,0,0,0.271,0,0.203,1
0.19,0.38,0,0,0.06,0,0,0,0.04,0.03,0,0.081,1
0,0.96,1.92,0,0,0,0.96,0,0,0,0,0,1
0.38,0.25,0,0,0,0,0,0,0.022,0.044,0,0,1
0.34,0,0,0.34,0,0,0,0,0,0.056,0,0,1
0.9,0.9,0.9,0,0,0,0,0,0,0,0,0,1
0.71,0,0.71,5.35,0,0,0,0,0,0.102,0,0,1
1.27,0.42,1.27,1.27,0.42,0,0.42,0,0,0.063,0,0.063,1
0.94,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0.37,1
1.11,0.18,0,0,0,0,0,0,0,0.182,0,0,1
1.59,0,0,0.63,0,0,1.59,0,0,0.275,0,0.496,1
0,0,0,0,0,0,0,0,0,0.729,0,0,1
0.76,0.15,0,0,0.1,0,0,0,0.042,0.101,0.016,0.046,1
2.94,0,0,2.94,0,0,0,0,0.404,0.404,0,0,1
1.16,0,0,1.16,0,0,0,0,0,0.133,0,0,1
0,0,0,0,0,0,0,0,0,0.196,0,0.196,1
0.76,0.15,0,0,0.1,0,0,0,0.042,0.101,0.016,0.046,1
0,0,0,0,0,0,0,0,0,0.196,0,0.196,1
0,1.66,0,0,0,0,0,0,0,0,0,0,1
0,0,0,3.33,0,0,0,0,0,0.352,0,0,1
0.65,0.65,0,0.65,5.22,0,0,0,0,0.459,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,3.03,0,0,0,0,0,0.352,0,0,1
1.89,0,0,0.27,0,0,0,0,0,0.045,0,0.091,1
0,0,0,0,0,0,0,0,0,0,0,0.302,1
0,0,0.68,0,0,0.68,0,0,0,0,0.185,0,1
0,0,0,0,0,0,0,0,0,0.308,0,0,1
2.94,0,0,2.94,0,0,0,0,0.436,0.436,0,0,1
1.46,0.48,0,0.48,0,0,0,0,0,0.081,0,0.244,1
0.48,0,0,0.48,0,0,0,0,0,0.08,0,0,1
0.41,0,0,0.41,0,0,0,0,0,0.068,0,0,1
0.61,0,0,0,0,0,0,0,0,0.051,0,0.207,1
2.94,0,0,2.94,0,0,0,0,0.335,0.335,0,0,1
2.94,0,0,2.94,0,0,0,0,0.355,0.355,0,0,1
1.11,0.18,0,0,0,0,0,0,0,0.182,0,0,1
0.52,0.26,0.26,0.26,2.08,0,0,0,0,0.073,0,0.036,1
