"w1","w2","w3","w4","w5","w6","w7","w8","w9","w10","w11","w12","y"
1.85,0,0,0,0,0,0,0,0,0.223,0,0,1
1.88,0,0,0,0,0,0,0,0,0.206,0,0,1
0.9,0.9,0.9,0,0,0,0,0,0,0,0,0,1
1.27,0.42,1.27,1.27,0.42,0,0.42,0,0,0.063,0,0.063,1
0.76,0.15,0,0,0.1,0,0,0,0.042,0.101,0.016,0.046,1
2.94,0,0,2.94,0,0,0,0,0.404,0.404,0,0,1
1.16,0,0,1.16,0,0,0,0,0,0.133,0,0,1
0,1.66,0,0,0,0,0,0,0,0,0,0,1
0,0,0,3.33,0,0,0,0,0,0.352,0,0,1
1.46,0.48,0,0.48,0,0,0,0,0,0.081,0,0.244,1
1.57,0.06,0.12,0,0.24,0,0,0,0.01,0.052,0,0.167,1
0,0.06,1.12,0.26,0,0,0,0,0.036,0.084,0,0.23,1
0.19,0.38,0,0,0.06,0,0,0,0.04,0.03,0,0.071,1
0,1.04,0,0,0,0,0,0,0.061,0.246,0,0.061,1
0.23,0,0,0.23,0,0,0,0,0.043,0.043,0,0,1
0.68,0.68,0.34,0.34,0,0.34,0,0,0,0,0,0.048,1
0,0,0.66,1.98,0,0,0,0,0,0,0,0,1
0.44,0,0,0.44,0,0,0,0,0,0.073,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
1.28,0,0,1.28,0,0,0,0,0,0.181,0,0,1
0,0,0,0,0,0,0,0,0,0.278,0,0,1
1.4,0.46,0.93,1.86,0.46,0,0.46,0,0,0.071,0,0.214,1
0,0,0,0.79,0,0,0,0,0,0.268,0,0,1
2.24,1.12,0,0.56,0,0,0,0,0,0.25,0,0.333,1
0.14,0.03,0.67,0.22,0,0,0,0,0,0.075,0,0.532,1
0.14,0.03,0.67,0.22,0,0,0,0,0,0.075,0,0.531,1
4.25,0.7,0,2.83,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0.305,0.611,0,0,1
